1303; K1; Shower; Grand Ballroom Roof, Trees, Obstructed View Of Squaw Peak Lawn With Fountain, Terrace Court, Obstructed View Of Piestewa Mountain;429; N
1304; K1; Shower; Aztec Room Roof And Patio, Trees, Valet Parking, Obstructed View Of Wrigley Mansion;391.5; N
1305; K1; Shower; Grand Ballroom Roof, Trees, Obstructed View Of Squaw Peak Lawn With Fountain, Terrace Court, Obstructed View Of Piestewa Mountain;442; N
1306; K1; Shower; Aztec Room Roof And Patio, Trees, Valet Parking, Obstructed View Of Wrigley Mansion;336; N
1307; K1; Shower; Grand Ballroom Roof, Trees, Obstructed View Of Squaw Peak Lawn With Fountain, Terrace Court, Obstructed View Of Piestewa Mountain;338; N
1308; K1; Shower; Tea Room Roof, Trees, Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;343; N
1309; K1; Shower; Grand Ballroom Roof, Trees, Squaw Peak Lawn With Fountain, Terrace Court, Obstructed View Of Piestewa Mountain;338; N
1310; K1; Shower; Tea Room Roof, Trees, Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;382.5; N
1311; K1; Shower; Trees, Squaw Peak Lawn With Fountain, Terrace Court, Obstructed View Of Piestewa Mountain;325; N
1312; K1; Shower; Tea Room Roof, Trees, Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;382.5; N
1314; K1; Shower; Tea Room Roof, Trees, Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;400; N
1315; K1; Shower; Trees, Squaw Peak Lawn With Fountain, Terrace Court, Nice Piestewa Mountain;325; N
1316; K1; Shower; Frank & Albert's Restaurant Roof, Trees, Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;384.75; N
1317; K1; Shower; Signature View: Nice Squaw Peak Lawn With Fountain, Terrace Court, Nice Piestewa Mountain;338; N
1318; K1; Shower; Frank & Albert's Restaurant Roof, Trees, Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;348; N
1319; K1; Shower; Signature View: Nice Squaw Peak Lawn With Fountain, Terrace Court, Nice Piestewa Mountain;338; N
1320; K1; Shower; Frank & Albert's Restaurant Roof, Trees, Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;287.5; N
1321; K1; Shower; Signature View: Nice Squaw Peak Lawn With Fountain, Terrace Court, Nice Piestewa Mountain;338; N
1322; K1; Shower; Front Drive, Frank & Albert's Restaurant Roof, Trees, Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;338; N
1323; K1; Shower; Trees, Squaw Peak Lawn With Fountain, Terrace Court, Nice Piestewa Mountain;325; N
1324; K1; Shower; Front Drive, Frank & Albert's Restaurant Roof, Trees, Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;338; N
1325; K1; Shower; Trees, Squaw Peak Lawn With Fountain, Terrace Court, Nice Piestewa Mountain;325; N
1326; K1; Shower; Front Drive, Frank & Albert's Restaurant Roof, Trees, Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;390; N
1327; K1; Shower; Tree, East Wing Roof, Obstructed View Of Squaw Peak Lawn With Fountain, Terrace Court, Obstructed View Of Piestewa Mountain;351; N
1328; K1; Shower; Frank & Albert's Restaurant Patio, Trees, Valet Parking, Obstructed View Of Paradise Pool Entry And Villas;357; N
1329; K1; Shower; Tree, East Wing Roof, Obstructed View Of Squaw Peak Lawn With Fountain, Terrace Court, Obstructed View Of Piestewa Mountain;338; N
1331; K1; Shower; Tree, East Wing Roof, Obstructed View Of Squaw Peak Lawn With Fountain, Terrace Court, Obstructed View Of Piestewa Mountain;325; N
1400; Q2; Shower; Aztec Room Roof And Patio, Trees, Valet Parking, Obstructed View Of Wrigley Mansion;392;1402
1401; Q2; Shower; Grand Ballroom Roof, Obstructed View Of Squaw Peak Lawn And Fountain, Garden, Obstructed View Of Piestewa Mountain;477;1403
1402; K1; Shower; Aztec Room Roof And Patio, Trees, Valet Parking, Obstructed View Of Wrigley Mansion;391.5; 1400 And 1404
1403; K1; Shower; Grand Ballroom Roof, Obstructed View Of Squaw Peak Lawn And Fountain, Garden, Obstructed View Of Piestewa Mountain;437.25; 1401 And 1405
1404; K1; Shower; Aztec Room Roof And Patio, Trees, Valet Parking, Obstructed View Of Wrigley Mansion;418; 1402 And 1406
1405; Q2; Shower; Grand Ballroom Roof, Obstructed View Of Squaw Peak Lawn And Fountain, Garden, Obstructed View Of Piestewa Mountain;481; 1403 And 1407
1406; K1; Shower; Aztec Room Roof And Patio, Trees, Valet Parking, Obstructed View Of Wrigley Mansion;362.5;1404
1407; K1; Shower; Roof, Obstructed View Of Squaw Peak Lawn;362.5; 1405 And 1409
1408; K1; Shower; Tea Room Roof History Room Deck, Trees, Front Drive With Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;375;1410
1409; K1; Shower; Roof, Mountain, Garden;530; 1407 And 1413
1410; K1; Shower; Tea Room Roof History Room Deck, Trees, Front Drive With Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;337.5; 1408 And 1412
1412; K1; Shower; Tea Room Roof History Room Deck, Trees, Front Drive With Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;369.75; 1410 And 1414
1413; Q2; Shower; Trees, Mountain, Roof, Fountain;437.25; 1409 And 1415
1414; K1; Shower; Tea Room Roof History Room Deck, Trees, Front Drive With Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;362.5; 1412 And 1416
1415; Q2; Shower; Nice Squaw Peak Lawn With Fountain, Terrace Court, Nice Piestewa Mountain;477; 1413 And 1417
1416; K1; Shower; Tea Room Roof History Room Deck, Trees, Front Drive With Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;420;1414
1417; K1; Shower; Signature View: Nice Squaw Peak Lawn With Fountain, Terrace Court, Nice Piestewa Mountain;455; 1415 And 1419
1418; K1; Shower; Frank & Albert's Restaurant Roof History Room Deck, Trees, Front Drive With Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;344.5;1420
1419; K1; Shower; Nice Squaw Peak Lawn With Fountain, Terrace Court, Nice Piestewa Mountain;530; 1417 And 1421
1420; K1; Shower; Frank & Albert's Restaurant Roof, Trees, Front Drive With Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;429; 1418 And 1422
1421; K1; Shower; Nice Squaw Peak Lawn With Fountain, Terrace Court, Nice Piestewa Mountain;450.5; 1419 And 1423
1422; Q2; Shower; Frank & Albert's Restaurant Roof, Trees, Front Drive With Valet Parking, Obstructed View Of Adobe Golf Course And Biltmore Estates;437.25; 1420 And 1424
1423; K1; Shower; Obstructed By Tree View Of Squaw Peak Lawn With Fountain, Terrace Court, Piestewa Mountain;463.75;1421 And 1425
