1423, K1, shower, garden/fountain/mountain/trees, 463.751421 AND 1425
1424, K1, shower, roof/trees/front drive, 503.5, 1422 AND 1426
1425, K1, shower, mountain/pool/roof/garden, 477, 1423
1426, K1, shower, mountain/pool/roof/front drive, 429, 1424
2100, Q2SSO, shower, pool view blocked by cabana, 467.5, 2102
2101, K1SRO, shower, Paradise garden, 467.5, 2103
2102, K1SSO, shower, Paradise pool, 467.5, 2100 AND 2104
2103, K1RRD, roll-in-shower w/grab bars, Paradise garden, 467.5, 2101 AND 2105
2104, Q2SSO, shower, pool, 467.5, 2102
2105, K1SRO, regular shower, Paradise garden, 467.5, 2103
2106, K1SSO, shower, pool, 467.5, N
2107, K1SRO, shower, Paradise garden, 467.5, N
2108, Q2SSO, shower, pool/slide, 467.5, N
2109, Q2SRO, shower, Paradise garden, 467.5, N
2110, K1SSO, shower, pool/slide, 467.5, N
2112, Q2SSO, shower, pool/slide, 481.25, N
2113, K1SRO, shower, Paradise garden/trees, 467.5, N
2114, K1SSO, shower, end of slide/trees/walkway,467.5, N
2116, Q2SSO, shower, trees/bush/wall, 467.5, N
2117, Q2SRO, shower, Paradise garden/fountain, 467.5, 2119
2118, Q2SSO, shower, trees/bush/wall, 467.5, N
2119, K1SRO, shower, Paradise garden/fountain/sprite, 467.5, 2117
2120, K1SSO, shower, garden/front spa entry, 467.5, N
2121, K1SRO, shower, Paradise garden/fountain, 481.25, 2123
2122, K1SSO, shower, wall/spa entry, 481.25, 2124
2123, Q2SRO, shower, Paradise garden/bush, 467.5, 2121
2124, K1SSO, shower, Bush/spa, 467.5, 2122 AND 2126
2126, K1SSO, shower, bush/spa, 467.5, 2124
2200, Q2RRO, shower, cabana roof/obs. pool, 467.5, N
2201, Q2RRO, shower, obs. Paradise Garden/tree/patios roof, 467.5, N
2202, Q2RRO, shower, pool, 459, N
2203, Q2RRO, shower, obs. Paradise Garden/tree/patios roof, 481.25, N
2204, Q2RRO, shower, pool, 481.25, N
2205, Q2RRO, shower, obs. Paradise Garden/tree/patios roof, 481.25, N
2206, K1RRO, shower, pool/slide, 481.25, N
2207, Q2RRO, shower, obs. Paradise Garden/tree/patios roof, 481.25, 2209
2208, Q2RRO, shower, pool/slide,481.25, N
2209, Q2RRO, shower, obs. Paradise Garden/tree/patios roof, 481.25, 2207
